claim_amount,claimant_age,claim_duration_days,claimant_gender,county,policy_deductable,policy_annual_premium,bodily_injuries,witnesses,incident_hour_of_the_day,incident_severity,police_report_available,insured_education_level,insured_occupation,is_fraudulent,incident_type,reserve_amount
133800,55,139,female,Nairobi,20000,12000,1,2,3,total_loss,no,bachelors,farmer,0,flood,249400
113700,56,94,male,Nairobi,10000,10500,2,3,12,minor,yes,high_school,sales,0,flood,175900
100000,45,153,female,Turkana,50000,7000,2,2,1,minor,yes,masters,sales,0,fire,165500
100000,41,14,female,Nakuru,10000,9500,2,1,15,total_loss,yes,bachelors,sales,0,theft,269500
169600,51,125,female,Nairobi,50000,12000,0,0,1,minor,yes,masters,farmer,0,theft,181800
100000,65,154,female,Kakamega,20000,9000,2,2,14,minor,yes,bachelors,manual_labor,0,theft,134800
100000,58,115,female,Uasin Gishu,20000,9000,0,2,14,major,yes,masters,tech,0,fire,129100
151100,21,57,female,Uasin Gishu,10000,14000,1,1,21,major,yes,high_school,farmer,0,flood,211400
100000,36,167,female,Meru,20000,9000,1,1,22,minor,?,high_school,sales,0,fire,145900
100000,34,57,female,Uasin Gishu,20000,9000,1,2,15,minor,?,bachelors,manual_labor,0,fire,149900
219600,20,99,other,Nairobi,10000,20500,0,2,9,major,no,masters,farmer,0,fire,359800
100000,39,37,other,Bungoma,20000,9000,0,2,19,minor,yes,bachelors,farmer,0,flood,129100
168300,43,93,male,Kakamega,20000,15000,0,3,1,minor,yes,high_school,sales,0,fire,202400
264700,34,22,male,Meru,20000,23500,0,2,22,minor,yes,masters,sales,0,flood,271800
107900,48,148,female,Kisumu,50000,7500,0,1,4,minor,yes,bachelors,farmer,0,flood,120200
192300,31,83,male,Kisumu,50000,13500,1,2,2,major,yes,masters,tech,0,flood,344200
123800,47,145,male,Bungoma,50000,8500,0,0,0,minor,yes,masters,sales,0,fire,179300
100000,51,27,other,Nairobi,50000,7000,0,2,21,minor,yes,high_school,manual_labor,0,fire,127700
159000,66,116,male,Nairobi,10000,15000,1,1,15,minor,yes,bachelors,farmer,0,theft,217700
100000,28,50,female,Mombasa,5000,9500,0,2,0,minor,yes,masters,farmer,0,flood,102800
100000,20,159,female,Kakamega,50000,7000,1,1,17,minor,yes,bachelors,manual_labor,0,theft,129700
100000,36,41,female,Nakuru,5000,9500,0,3,6,minor,?,bachelors,tech,0,fire,143800
155100,41,14,other,Nyeri,10000,14500,0,2,22,total_loss,yes,masters,manual_labor,0,fire,292500
100000,36,147,male,Kiambu,50000,7000,0,2,23,total_loss,yes,high_school,manual_labor,0,fire,168200
142600,23,43,male,Nakuru,20000,15000,0,1,23,total_loss,no,bachelors,sales,1,theft,346500
183500,66,29,female,Kilifi,50000,13000,2,1,4,minor,yes,high_school,tech,0,flood,257000
100000,29,176,female,Kisumu,5000,9500,0,3,3,total_loss,yes,masters,sales,0,flood,195300
100000,59,123,female,Kisii,50000,7000,0,1,3,minor,yes,bachelors,sales,0,fire,105600
106500,20,161,male,Kisumu,10000,10000,1,2,12,minor,?,high_school,sales,0,flood,171300
100000,35,173,male,Uasin Gishu,10000,9500,0,3,8,total_loss,no,bachelors,manual_labor,0,fire,157600
100000,27,158,male,Eldoret,10000,9500,0,1,9,minor,yes,high_school,farmer,0,fire,148500
100000,60,78,female,Nairobi,20000,9000,1,3,3,major,no,bachelors,manual_labor,0,theft,143500
133300,18,16,female,Kiambu,10000,15000,0,0,3,total_loss,?,bachelors,sales,1,fire,339000
128800,35,42,male,Mombasa,10000,14500,0,1,0,major,?,high_school,manual_labor,1,fire,330500
100000,21,65,female,Nairobi,5000,9500,0,3,21,minor,?,masters,farmer,0,flood,120600
100000,29,142,female,Uasin Gishu,10000,9500,0,2,20,major,no,masters,manual_labor,0,fire,172900
170300,59,88,male,Kisumu,20000,15000,2,2,0,major,no,masters,manual_labor,0,fire,253900
100000,49,48,female,Kiambu,20000,9000,0,2,20,major,yes,bachelors,tech,0,fire,136500
131900,34,15,other,Machakos,10000,15000,0,1,22,major,no,high_school,sales,1,fire,210000
